# Starting test run
x y points n_ticks
384 12 8 311
611 536 31 438
11 282 25 340
17 471 31 430
260 43 18 270
449 107 18 335
735 141 22 308
604 351 16 309
795 273 6 242
673 142 22 278
156 190 14 258
197 6 20 256
35 123 27 239
130 124 24 244
126 439 26 222
221 472 28 226
412 75 20 414
118 343 22 286
137 244 6 232
636 584 16 309
475 57 18 285
757 142 16 316
24 92 18 258
644 528 20 210
752 304 32 311
110 204 0 100
144 402 22 237
788 299 20 277
755 505 26 250
771 16 14 278
426 583 14 199
614 51 28 367
391 66 8 281
495 37 8 238
163 106 29 250
247 262 22 310
711 562 20 195
423 230 21 374
733 456 38 488
341 369 24 242
112 216 22 255
753 276 30 389
68 169 20 256
746 19 27 225
245 256 31 564
47 164 24 347
759 30 6 253
263 423 24 288
322 102 26 338
212 450 0 100
408 57 14 228
706 222 8 252
631 155 24 262
739 33 28 337
646 32 22 353
359 558 28 431
235 249 24 297
142 106 24 242
344 414 20 327
182 468 24 271
64 172 14 249
459 199 22 496
143 122 32 252
227 27 18 263
204 205 24 383
165 69 30 252
776 278 16 320
320 536 26 213
425 457 26 212
471 231 30 310
578 30 14 261
591 82 22 272
692 348 12 264
425 80 24 427
215 40 14 216
350 440 22 208
629 313 16 318
439 493 22 283
677 500 30 336
731 367 26 211
200 220 22 495
534 210 20 298
786 113 29 280
166 394 22 393
163 569 24 263
333 188 20 405
429 208 12 268
249 465 26 289
179 556 24 364
542 207 18 314
160 134 20 325
428 235 16 299
437 200 20 353
86 498 30 215
367 160 30 345
623 71 26 427
43 367 18 217
695 451 26 231
705 14 0 100
441 335 16 271
750 301 16 330
246 89 28 262
28 231 24 223
452 39 12 231
683 62 28 227
390 425 0 100
546 177 0 100
694 542 32 134
423 203 24 321
457 276 16 205
84 374 22 227
638 171 18 250
314 430 27 318
630 345 20 193
762 471 30 446
119 327 24 320
668 119 28 257
454 489 6 160
418 373 14 186
661 317 29 346
663 86 22 326
299 116 26 279
84 206 18 272
325 102 14 270
85 421 22 246
17 520 24 221
162 529 32 144
727 196 28 450
79 577 22 207
508 258 26 325
302 266 14 210
321 357 10 192
741 188 20 269
273 155 24 380
324 562 25 200
627 502 32 333
681 370 28 270
224 288 16 266
514 109 0 100
581 474 16 219
132 146 28 267
99 30 30 262
172 65 24 273
623 341 24 214
353 504 16 186
155 196 30 288
234 503 27 205
483 415 27 364
493 25 22 231
386 28 0 100
316 38 28 535
150 197 24 277
280 540 24 189
308 292 12 287
794 175 32 357
86 185 27 256
749 223 22 296
650 242 20 304
613 544 28 212
465 531 18 201
300 488 26 204
386 143 28 304
195 234 27 238
712 393 18 230
399 596 24 278
214 115 27 356
424 507 30 209
406 5 27 392
730 507 22 336
298 469 24 417
252 383 12 232
795 531 30 218
540 518 28 216
721 583 8 290
208 485 28 275
342 545 22 203
115 365 14 249
20 427 29 218
61 476 24 241
692 234 24 221
57 128 4 204
798 341 0 100
782 271 26 418
136 386 22 264
452 544 24 427
521 536 24 288
134 476 24 272
85 329 24 238
360 55 16 286
78 271 20 255
796 451 32 218
604 162 26 249
212 249 27 292
587 148 22 283
537 167 8 207
483 44 18 244
421 450 8 161
179 542 32 160
8 368 0 100
526 280 24 319
129 72 22 251
628 535 31 213
505 378 22 210
268 117 24 318
199 291 8 275
177 450 24 263
127 96 26 246
672 438 28 300
580 57 22 262
514 285 18 384
110 425 18 271
200 472 18 231
12 102 10 224
19 252 34 217
723 262 20 209
621 203 12 319
352 226 12 249
465 175 26 330
657 552 26 207
765 139 26 245
208 121 20 302
222 361 30 292
267 82 20 226
623 294 18 268
328 156 28 263
16 379 20 238
560 407 14 290
52 568 24 202
562 92 6 225
375 241 25 427
472 486 14 291
667 213 24 264
137 211 18 268
266 569 24 195
243 157 18 323
525 202 16 286
469 129 16 407
767 268 24 408
415 87 20 294
66 56 33 148
100 315 25 474
790 45 28 454
184 253 28 407
447 217 18 388
345 108 26 330
539 97 20 269
203 141 22 260
32 201 20 441
791 198 20 323
139 185 28 254
680 279 14 269
221 304 24 321
93 459 28 263
669 308 6 237
415 127 28 247
215 214 24 438
261 243 21 277
301 364 16 288
228 316 26 253
654 57 26 251
656 419 18 218
299 116 28 424
12 540 25 492
365 488 16 191
654 8 24 261
85 502 30 247
118 395 35 148
35 347 12 229
631 594 16 234
722 81 26 326
429 409 32 205
417 541 14 181
277 125 16 269
280 228 8 258
578 455 30 240
282 118 12 276
617 354 21 233
41 275 33 343
371 248 33 338
17 437 16 207
271 416 28 258
498 268 10 181
9 44 10 217
136 477 24 241
369 58 10 225
768 574 12 208
560 235 12 219
271 436 2 101
526 594 14 205
662 243 30 290
675 115 22 243
641 573 26 338
309 277 22 357
682 289 32 253
213 587 16 252
101 196 27 327
118 23 24 250
681 303 28 247
339 416 10 289
387 232 31 210
431 333 16 219
523 259 22 224
463 510 18 192
235 476 26 332
342 493 14 222
114 135 0 100
225 156 0 100
281 363 24 413
349 510 32 102
190 22 12 257
237 292 27 339
500 288 24 338
495 2 20 306
470 538 30 202
415 139 28 426
152 196 30 261
149 418 24 247
238 77 10 238
501 519 18 187
449 364 12 225
184 577 25 206
793 438 20 253
686 522 30 227
169 510 0 100
364 147 16 335
29 138 0 100
366 229 22 343
269 337 14 347
320 370 18 213
108 126 12 254
699 121 26 266
4 392 12 266
773 269 22 294
42 208 31 251
473 65 24 280
558 498 26 215
53 29 23 300
385 290 14 303
580 63 19 277
627 508 24 262
486 224 14 304
41 465 24 238
504 373 20 266
167 359 30 276
291 334 20 285
38 366 8 177
413 270 20 296
789 593 20 322
302 593 29 197
388 179 28 330
217 400 26 367
393 265 20 202
149 396 28 477
628 541 24 263
416 475 22 229
614 405 18 247
525 372 26 318
333 443 26 312
644 141 0 100
249 122 32 293
227 452 14 276
193 86 28 232
639 276 20 257
127 155 14 260
368 238 18 394
549 520 30 255
525 532 26 204
695 294 0 100
204 199 26 284
301 306 22 335
689 430 16 223
489 501 16 324
186 489 24 318
98 211 26 369
117 471 32 215
438 176 22 337
335 100 24 294
397 214 30 333
494 564 26 207
346 503 30 268
618 535 22 253
183 226 30 211
562 52 20 279
376 574 24 488
381 144 26 332
669 62 22 250
86 567 10 192
275 230 12 387
80 67 28 235
300 218 18 289
442 211 16 205
741 210 26 366
64 263 16 238
448 4 0 100
132 138 22 255
346 303 26 447
367 171 18 308
429 73 22 309
582 477 28 247
297 128 28 262
466 23 20 247
89 576 8 194
496 323 22 339
352 13 6 219
662 270 10 221
752 178 28 413
607 510 28 276
580 47 22 244
132 252 18 224
14 442 18 218
268 416 28 291
293 441 12 191
759 107 0 100
593 325 2 182
457 577 26 193
172 582 24 255
475 367 0 100
381 456 16 275
230 319 20 298
447 508 28 247
45 566 26 188
225 353 16 267
559 518 24 204
97 341 14 338
531 304 6 187
409 460 16 302
74 317 28 251
401 95 2 101
422 131 18 304
134 545 20 220
329 25 12 241
484 430 16 180
685 503 28 239
531 26 22 318
621 414 16 278
350 356 10 269
701 350 22 257
334 242 24 324
407 344 18 214
338 567 20 194
211 377 14 284
338 263 0 100
30 58 24 230
751 460 26 218
448 480 26 203
260 177 18 331
472 564 12 175
628 355 24 312
464 600 23 237
576 145 8 199
378 563 24 188
759 66 22 254
527 566 16 286
782 511 24 217
114 526 22 219
268 311 22 229
484 44 20 403
532 63 23 222
799 130 18 242
252 123 0 100
752 450 25 280
71 586 0 100
384 320 10 194
700 12 22 381
143 483 20 228
450 453 22 308
696 436 26 249
198 257 10 237
435 263 6 208
564 275 27 429
87 187 22 239
799 173 6 201
16 509 28 211
423 321 28 440
522 436 20 223
679 517 28 318
410 135 18 236
351 164 27 306
185 15 26 322
772 238 30 552
41 537 22 227
434 195 10 367
513 573 28 198
296 103 20 217
319 297 26 331
773 351 6 199
558 385 18 293
56 184 22 389
79 148 22 260
651 449 8 249
486 51 21 566
646 5 0 100
44 337 10 201
243 362 26 188
678 549 27 214
498 511 31 475
681 291 22 226
766 550 28 197
563 250 16 273
376 289 28 300
35 415 22 221
636 534 31 258
363 337 12 293
710 243 26 229
245 73 0 100
346 596 23 441
721 301 24 325
280 342 24 287
42 317 27 508
401 554 14 245
628 299 19 362
47 89 30 247
478 433 22 249
790 250 19 375
79 141 26 226
167 211 18 304
178 318 24 313
31 169 32 233
212 376 0 100
7 339 0 100
393 154 18 317
346 144 18 217
689 360 28 246
335 163 8 231
691 476 24 226
273 189 19 310
630 295 12 190
280 430 24 352
169 318 8 249
693 446 22 227
651 467 30 337
372 75 18 222
658 343 6 244
642 10 10 245
750 343 33 300
535 132 0 100
522 294 8 209
81 140 22 269
215 157 24 291
57 375 32 454
347 293 22 351
600 292 29 486
507 451 22 225
206 328 22 349
62 4 31 383
794 61 10 253
700 524 30 310
457 465 26 441
164 461 26 302
565 380 14 175
392 216 24 332
604 188 8 286
118 15 26 363
632 144 0 100
689 451 22 369
32 187 24 295
528 577 34 173
197 487 14 219
780 389 27 330
480 439 18 323
75 231 30 243
237 12 12 232
124 563 14 216
426 478 20 241
652 180 30 306
2 180 18 231
115 62 25 376
737 16 20 255
672 150 24 270
29 71 0 100
179 446 22 235
696 207 22 252
282 571 6 275
593 207 12 252
739 232 28 243
628 475 26 273
684 182 14 253
685 130 30 254
372 527 20 197
658 90 28 248
501 25 20 243
190 123 30 428
490 230 36 449
751 555 23 236
51 188 28 245
217 458 30 306
734 361 16 256
614 144 0 100
100 535 18 220
481 577 28 391
552 281 18 236
465 549 30 306
141 308 8 250
10 525 24 212
296 310 16 412
131 491 26 233
355 171 16 421
297 434 18 299
765 218 31 459
518 340 32 221
384 233 8 207
624 563 20 197
51 327 24 356
704 244 24 345
775 497 26 241
140 6 0 100
60 519 30 220
153 228 12 307
38 506 24 291
3 157 21 316
79 87 30 239
447 248 20 290
66 456 20 226
737 400 24 222
11 502 28 303
628 177 20 358
550 425 24 285
457 598 14 239
413 379 18 345
708 160 26 269
733 12 26 343
331 165 12 253
742 264 0 100
670 399 16 312
68 383 22 253
64 498 32 183
381 462 28 328
309 301 20 345
227 391 0 100
472 19 22 214
99 578 20 235
593 532 26 250
449 54 14 238
410 390 30 228
741 344 16 209
528 393 28 386
674 503 26 236
521 334 16 291
780 57 20 266
301 153 8 306
761 190 25 457
558 54 6 217
66 424 16 221
248 358 12 194
365 527 26 283
498 545 30 211
76 192 24 231
613 293 16 345
179 291 24 243
621 529 2 169
702 233 20 237
77 7 26 439
335 43 0 100
652 382 24 234
295 238 24 317
384 15 0 100
790 532 18 193
19 443 30 225
276 261 18 296
637 490 30 242
209 518 30 201
303 177 30 256
575 150 30 444
224 244 8 275
492 505 26 207
316 563 18 205
546 102 18 282
291 71 12 404
586 237 25 280
142 42 27 241
52 23 22 261
466 49 28 434
217 84 24 242
584 233 12 409
580 547 20 271
533 24 2 196
454 138 10 235
117 318 12 230
702 34 22 248
156 367 20 271
423 18 18 230
18 357 6 211
660 161 24 299
590 32 22 324
491 234 22 276
550 526 22 259
39 124 26 245
429 92 16 303
34 557 18 227
394 209 14 193
555 74 30 267
62 83 20 232
556 224 28 298
126 147 24 229
451 162 24 296
292 387 14 183
553 79 12 276
327 219 4 146
303 152 14 203
708 435 20 274
511 181 24 411
127 503 16 275
73 402 28 201
606 573 16 233
754 122 33 248
444 528 20 201
788 181 0 100
613 241 22 261
386 494 24 308
102 123 30 287
96 28 29 254
776 484 30 288
7 20 22 245
385 362 20 327
541 25 10 308
399 388 20 215
68 218 25 223
22 332 16 239
176 209 12 263
776 183 22 238
617 281 6 240
799 328 20 413
549 323 22 310
717 207 26 260
519 155 24 275
77 196 20 255
155 459 28 422
138 25 24 332
271 332 18 209
201 4 0 100
310 307 25 348
256 576 16 193
726 197 29 442
478 79 0 100
314 324 18 297
556 259 22 310
97 178 26 307
627 334 24 274
612 525 24 202
441 586 20 391
86 516 28 213
115 168 23 229
35 240 22 373
484 309 20 358
450 403 22 344
546 458 12 221
240 520 26 290
79 500 32 177
743 93 22 253
257 80 22 233
605 103 20 302
48 562 24 224
9 23 2 148
126 140 32 157
227 171 22 295
393 331 24 198
161 27 35 574
208 287 22 458
728 379 18 237
46 346 18 228
629 239 12 285
140 377 18 258
199 291 22 218
603 354 22 249
269 428 29 222
427 83 22 239
319 398 30 284
46 34 32 311
529 98 30 297
543 536 22 214
209 303 18 209
276 78 20 354
330 89 26 250
350 284 18 206
40 86 18 257
11 39 22 378
490 382 20 288
539 325 14 351
346 274 30 349
396 172 29 263
695 542 28 214
4 185 20 312
330 405 18 265
253 24 20 277
571 214 14 278
368 99 8 218
510 16 0 100
452 324 25 226
161 295 20 288
592 271 26 294
707 59 32 154
372 518 22 200
508 576 22 229
311 66 22 283
473 354 22 276
93 71 18 220
732 336 22 255
255 202 12 272
437 161 12 332
319 433 24 219
587 90 24 276
290 170 18 253
753 293 26 448
664 244 23 464
276 231 22 307
696 228 18 299
88 570 28 232
400 148 18 282
422 357 27 205
712 492 30 230
98 518 24 251
319 312 16 258
70 274 24 300
310 438 28 236
522 585 29 197
470 306 20 177
489 1 6 208
134 414 20 260
590 75 18 334
650 256 24 283
590 321 18 230
224 575 24 294
686 175 28 266
100 73 26 257
298 183 18 290
42 429 36 421
571 467 12 217
767 534 22 224
254 246 16 305
124 98 26 251
783 405 22 239
754 127 35 138
186 78 22 303
319 226 18 305
377 318 16 390
238 409 26 294
46 29 30 334
34 76 22 241
410 66 14 227
298 44 16 401
688 318 20 267
214 561 27 200
217 375 16 268
399 258 18 196
69 166 14 251
597 117 8 247
116 304 26 222
773 584 26 244
369 422 12 222
142 96 0 100
365 1 0 100
204 513 18 242
422 166 19 368
46 394 20 195
304 512 28 346
18 388 16 329
65 356 28 299
141 196 20 263
111 360 20 382
692 414 28 247
781 447 14 234
635 473 32 174
179 137 26 320
296 129 24 341
432 71 26 284
168 492 27 244
307 260 26 234
677 147 22 251
745 415 26 558
343 508 18 303
75 242 26 231
704 80 27 250
355 233 4 264
765 585 25 297
220 233 22 298
1 480 24 320
201 397 26 310
541 90 16 222
180 33 18 235
597 39 22 241
141 50 26 254
776 442 6 225
577 194 24 357
367 598 22 528
469 341 25 326
668 291 24 267
458 509 22 193
255 412 8 183
95 367 24 250
685 216 28 487
350 450 27 229
460 436 18 209
687 244 26 243
382 535 32 296
88 173 18 284
500 228 6 197
191 293 24 192
204 542 33 520
102 120 0 100
30 229 22 274
536 42 16 237
758 86 18 234
715 139 22 231
760 396 8 250
556 470 26 237
101 260 30 605
351 118 28 473
164 224 22 273
155 293 18 264
368 229 32 161
661 388 0 100
366 114 16 279
602 227 26 304
523 30 10 242
588 225 20 345
332 165 20 322
666 210 10 214
190 599 34 529
571 204 12 170
399 10 0 100
683 284 16 293
315 78 14 222
296 376 16 291
743 316 18 215
413 90 18 208
35 478 26 308
489 240 12 251
212 32 26 271
22 320 22 220
10 245 38 389
55 128 28 285
20 128 23 543
459 331 16 317
778 142 8 270
251 518 24 339
446 376 14 193
244 458 22 270
154 394 20 231
709 415 24 307
798 324 22 263
164 313 22 269
752 303 20 212
581 394 16 284
577 109 30 498
21 235 14 220
585 593 34 204
493 85 18 287
719 60 26 250
393 597 18 331
372 268 25 328
321 146 24 400
750 571 28 378
308 119 24 236
234 383 28 328
519 303 8 257
708 91 33 142
172 516 26 423
670 597 24 261
699 322 28 258
319 302 18 370
605 309 10 270
712 305 24 299
399 276 20 283
198 386 31 376
343 387 16 273
759 270 10 238
91 203 26 239
9 34 0 100
259 225 29 274
502 528 18 221
234 470 30 314
776 112 20 242
685 134 24 250
325 375 22 273
240 79 14 263
365 157 4 220
329 550 12 198
243 565 28 268
158 344 20 314
200 329 12 213
365 34 14 232
785 477 29 237
695 271 14 261
271 505 24 324
11 37 16 243
474 189 24 332
478 68 12 252
337 229 20 281
743 291 22 414
457 501 24 227
374 33 18 260
402 29 10 217
797 329 0 100
201 517 20 245
367 401 20 198
113 214 12 263
380 479 28 211
504 234 14 217
398 249 16 202
210 409 14 297
205 421 18 256
339 255 18 353
118 7 21 249
585 138 18 369
646 237 0 100
486 274 6 213
570 118 18 263
384 363 22 467
327 37 24 216
123 246 22 297
57 322 12 186
433 5 10 218
160 322 18 287
231 406 20 284
232 306 20 326
686 76 24 261
764 329 12 210
537 37 12 224
598 326 25 334
787 186 25 255
641 101 28 260
209 20 4 220
478 102 0 100
308 11 10 224
85 159 24 229
759 172 20 228
206 90 0 100
766 527 20 229
687 588 31 252
16 209 14 249
32 405 16 228
332 107 16 318
597 562 12 247
352 342 20 318
648 85 22 275
283 513 22 297
302 68 18 209
209 513 26 310
766 262 20 262
548 176 10 251
789 560 34 311
308 600 22 356
430 17 22 285
534 431 25 200
68 9 30 234
253 582 35 341
63 386 31 482
